Millis,Roll,Pitch,Yaw,Altitude,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Pressure
421,4.06,-5.25,359.50,0.17,0.76,-0.97,10.03,-4.88,-0.37,0.37,2.19,13.06,-27.19,835.24
530,4.00,-5.50,359.38,0.15,0.61,-1.00,10.03,0.31,-2.13,1.69,0.56,8.19,-14.88,835.22
634,3.94,-5.50,359.44,0.45,0.59,-1.04,10.07,0.94,2.13,0.44,0.19,7.88,-16.75,835.16
741,3.94,-5.38,359.38,0.76,0.58,-1.03,10.12,-3.38,1.00,0.25,1.69,7.88,-18.00,835.19
849,3.94,-5.50,359.44,0.61,0.77,-0.93,9.94,1.94,-2.75,-1.31,0.00,7.75,-17.19,835.12
960,4.31,-5.56,359.56,-0.15,0.82,-1.11,10.43,-4.88,-6.50,-1.56,0.00,8.06,-15.56,835.15
1067,4.63,-5.50,359.75,0.61,0.73,-0.91,9.78,3.38,-1.94,-2.50,0.69,7.75,-15.50,835.24
1173,4.69,-5.31,359.88,-0.16,0.65,-0.91,9.87,1.25,-0.37,-0.63,1.75,8.19,-16.00,835.22
1277,4.75,-5.25,359.88,0.00,0.75,-0.99,9.96,-5.75,-6.56,-1.56,0.25,8.56,-15.19,835.21
1384,5.06,-5.56,0.00,0.15,0.78,-0.97,9.75,2.50,-2.06,-0.19,0.69,8.19,-15.19,835.19
1497,5.25,-5.44,0.00,1.21,0.81,-0.97,10.10,1.63,2.88,0.63,-0.37,7.88,-16.69,835.24
1615,5.44,-5.38,0.06,0.91,1.04,-0.84,9.85,7.06,-4.81,-1.56,-1.50,8.19,-15.50,835.21
1720,5.56,-4.88,0.19,0.30,0.92,-0.80,10.13,3.94,-1.00,-1.37,-1.37,7.69,-15.25,835.18
1824,5.69,-4.31,0.37,0.61,0.92,-0.62,9.62,6.75,-3.38,-4.31,0.06,7.38,-15.75,835.22
1927,6.00,-4.06,0.75,0.16,0.78,-0.65,10.14,-1.06,-5.31,-2.44,-0.75,6.25,-17.06,835.22
2029,6.06,-4.13,0.81,0.46,0.84,-0.73,9.93,-2.13,2.63,-0.25,-0.75,7.88,-16.06,835.18
2136,5.94,-4.25,0.81,0.90,1.01,-0.73,9.69,-3.13,-0.88,-0.63,0.75,7.06,-17.19,835.13
2240,5.81,-4.38,0.81,0.15,0.87,-0.75,9.78,-0.37,3.75,1.06,0.25,7.00,-16.50,835.16
2347,5.31,-4.50,0.75,0.46,0.77,-0.77,9.95,0.37,3.44,4.69,-0.37,7.38,-18.37,835.18
2451,4.44,-5.25,0.06,0.76,1.50,-0.68,10.29,-6.81,16.50,6.00,2.06,7.38,-18.50,835.15
2555,3.38,-6.06,359.38,0.61,-1.90,-1.42,9.82,8.06,-6.75,-19.81,0.06,8.06,-17.19,835.18
2662,3.88,-5.31,0.19,1.23,0.65,-0.87,9.72,10.75,13.31,0.50,1.75,8.69,-15.75,835.18
2766,3.75,-5.13,0.25,-0.15,0.69,-0.91,10.47,-5.69,2.63,-2.00,0.19,8.38,-16.00,835.22
2869,3.19,-5.31,0.25,0.61,0.53,-0.86,10.15,-3.00,18.81,7.31,2.00,7.69,-15.06,835.16
2979,1.50,-5.19,359.69,1.22,0.54,-0.95,9.91,-23.37,21.69,1.00,2.19,7.25,-15.56,835.13
3084,0.12,-6.69,0.00,0.77,-0.16,-1.21,10.32,-9.63,7.50,-3.63,3.75,8.56,-18.19,835.25
3188,-0.94,-7.06,0.00,0.62,-0.08,-1.46,9.03,-13.44,31.81,5.25,3.56,9.25,-18.19,835.24
3295,-4.75,-9.19,0.00,0.62,-0.87,-1.72,10.40,-13.63,23.81,-3.63,7.06,10.75,-18.56,835.24
3401,-7.75,-11.06,0.37,0.77,-1.83,-2.02,9.53,-17.00,39.88,-0.69,11.56,11.69,-21.06,835.19
3510,-11.50,-12.75,0.69,0.77,-2.39,-2.53,9.92,-16.56,41.63,2.50,15.19,14.75,-23.56,835.18
3620,-16.50,-15.31,0.19,0.77,-2.96,-2.99,10.16,-31.44,41.56,-2.94,19.75,17.87,-26.56,835.12
3729,-21.75,-17.94,359.63,0.46,-3.85,-2.97,8.48,-29.81,54.19,17.50,25.00,19.00,-23.50,835.18
3837,-29.87,-22.00,357.13,0.47,-6.44,-4.45,10.19,-25.19,77.44,52.69,30.87,19.69,-22.37,835.24
3948,-39.44,-24.56,352.94,0.01,-8.07,-3.53,7.22,-56.56,85.31,39.63,37.50,19.69,-18.37,835.21
4059,-47.75,-28.44,259.94,0.32,-8.04,-2.94,5.17,-29.19,83.81,23.19,41.00,20.19,-16.06,835.21
4173,-55.81,-31.62,257.81,-0.14,-9.75,-2.13,4.18,-11.88,89.31,45.75,44.19,18.56,-6.56,835.21
4284,-63.63,-34.94,258.38,0.46,-11.80,-2.94,2.37,-28.19,63.00,19.56,45.75,16.50,-0.50,835.24
4395,-69.56,-39.06,257.50,0.76,-10.33,-4.35,2.14,-0.75,45.00,5.63,45.19,15.69,4.06,835.18
4505,-75.69,-45.94,253.88,0.31,-9.81,-2.11,2.99,-2.44,50.25,26.44,45.88,12.19,7.19,835.18
4614,-79.37,-63.31,254.88,0.16,-8.16,-1.09,0.85,33.75,33.50,12.13,46.06,10.75,11.56,835.13
4724,-81.37,-86.50,257.81,1.06,-9.20,-1.41,0.80,17.19,37.69,12.63,41.06,11.88,18.06,835.10
4837,-82.69,-116.00,258.38,0.61,-9.11,-0.94,-0.95,9.69,25.37,20.69,42.69,9.25,19.87,835.18
